cl_kmeans	Sample
9	SRR1179993
9	SRR1179994
9	SRR1179995
9	SRR1179996
9	SRR1179997
9	SRR1179998
9	SRR1179999
9	SRR1180000
9	SRR1180001
9	SRR1180002
9	SRR1180003
9	SRR1180004
9	SRR1180005
9	SRR1180007
9	SRR1180008
9	SRR1180009
11	SRR1192255
11	SRR1192256
11	SRR1192257
11	SRR1192258
11	SRR1192259
11	SRR1192260
12	SRR1207194
12	SRR1207195
12	SRR1207196
12	SRR1207197
12	SRR1207198
12	SRR1207199
12	SRR1207200
12	SRR1207201
11	SRR1238088
9	SRR1257405
9	SRR1257406
6	SRR1260032
6	SRR1260033
6	SRR1260035
6	SRR1260036
6	SRR1260037
6	SRR1260038
6	SRR1261351
6	SRR1261509
10	SRR1264830
10	SRR1264831
10	SRR1264832
10	SRR1264833
10	SRR1264834
10	SRR1264835
10	SRR1264836
10	SRR1264837
10	SRR1264838
10	SRR1264839
10	SRR1264840
10	SRR1264841
10	SRR1264842
10	SRR1264843
10	SRR1264844
10	SRR1264845
10	SRR1264846
10	SRR1264847
10	SRR1264848
10	SRR1264849
10	SRR1264850
10	SRR1264851
10	SRR1264852
10	SRR1264853
10	SRR1264854
10	SRR1264855
10	SRR1264856
10	SRR1264857
10	SRR1264858
10	SRR1264859
10	SRR1264860
10	SRR1264861
10	SRR1264862
10	SRR1264863
10	SRR1264864
10	SRR1264865
10	SRR1264866
10	SRR1264867
10	SRR1264868
10	SRR1264869
10	SRR1264870
10	SRR1264871
10	SRR1264872
10	SRR1264873
10	SRR1264874
10	SRR1264875
10	SRR1264876
10	SRR1264877
10	SRR1264878
10	SRR1264879
10	SRR1264880
10	SRR1264881
10	SRR1264882
10	SRR1264883
10	SRR1264884
10	SRR1264885
10	SRR1264886
10	SRR1264887
10	SRR1264888
10	SRR1264889
10	SRR1264890
10	SRR1264891
10	SRR1264892
10	SRR1264893
10	SRR1264894
10	SRR1264895
10	SRR1264896
10	SRR1264897
10	SRR1264898
10	SRR1264899
10	SRR1264900
10	SRR1264901
10	SRR1264902
10	SRR1264903
10	SRR1264904
10	SRR1264905
10	SRR1264906
10	SRR1264907
10	SRR1264908
10	SRR1264909
10	SRR1264910
10	SRR1264911
10	SRR1264912
12	SRR1266848
12	SRR1266849
12	SRR1266850
12	SRR1266851
12	SRR1266853
12	SRR1266854
11	SRR1283943
11	SRR1283944
11	SRR1283945
6	SRR1286088
4	SRR1290846
4	SRR1290847
4	SRR1290848
4	SRR1290850
4	SRR1290851
4	SRR1290852
4	SRR1292205
4	SRR1292206
4	SRR1292207
4	SRR1292208
4	SRR1292209
4	SRR1292210
4	SRR1298719
2	SRR1298720
2	SRR1298721
2	SRR1298722
2	SRR1298723
4	SRR1298724
4	SRR1298725
2	SRR1298726
2	SRR1298727
2	SRR1298728
2	SRR1298729
9	SRR1299117
9	SRR1299118
9	SRR1299119
9	SRR1299120
9	SRR1299121
9	SRR1299122
2	SRR1302268
2	SRR1302269
2	SRR1302270
2	SRR1302271
2	SRR1302272
2	SRR1302273
2	SRR1307153
2	SRR1307154
2	SRR1307155
2	SRR1307156
2	SRR1307157
2	SRR1307158
12	SRR1496188
12	SRR1496421
12	SRR1496639
12	SRR1497126
12	SRR1497245
12	SRR1497919
5	SRR1508238
5	SRR1508239
5	SRR1508240
5	SRR1508241
5	SRR1508242
5	SRR1508243
5	SRR1508244
5	SRR1508245
5	SRR1508246
5	SRR1508247
6	SRR1508458
6	SRR1508459
6	SRR1508460
6	SRR1508461
6	SRR1508462
6	SRR1508463
6	SRR1508464
6	SRR1508465
6	SRR1508466
6	SRR1508467
6	SRR1508468
12	SRR1521947
12	SRR1521948
12	SRR1521949
12	SRR1521950
6	SRR1524935
6	SRR1524938
6	SRR1524940
6	SRR1524941
6	SRR1524945
6	SRR1524946
4	SRR1548684
4	SRR1548685
4	SRR1548686
4	SRR1548687
4	SRR1548688
4	SRR1548689
4	SRR1548690
4	SRR1548691
4	SRR1548692
4	SRR1548693
1	SRR1548696
1	SRR1548697
1	SRR1548698
1	SRR1548699
1	SRR1548700
1	SRR1548701
1	SRR1548702
1	SRR1548703
1	SRR1548704
1	SRR1548705
5	SRR1564469
5	SRR1564470
5	SRR1564471
5	SRR1564472
5	SRR1564473
5	SRR1564474
11	SRR1576069
11	SRR1576251
11	SRR1577101
9	SRR1578854
9	SRR1578855
9	SRR1578856
1	SRR1578857
1	SRR1578858
1	SRR1578859
9	SRR1578860
9	SRR1578861
9	SRR1578862
1	SRR1578863
1	SRR1578864
1	SRR1578865
9	SRR1578866
9	SRR1578867
9	SRR1578868
1	SRR1578869
1	SRR1578870
1	SRR1578871
9	SRR1578872
9	SRR1578873
9	SRR1578874
1	SRR1578875
1	SRR1578876
1	SRR1578877
11	SRR1581015
11	SRR1581016
11	SRR1581017
11	SRR1582209
11	SRR1583556
11	SRR1583579
11	SRR1584414
11	SRR1584415
11	SRR1584416
4	SRR1584460
4	SRR1584461
4	SRR1584462
4	SRR1584463
11	SRR1585303
11	SRR1585304
11	SRR1585305
11	SRR1595557
11	SRR1595569
11	SRR1595601
11	SRR1596299
11	SRR1596300
11	SRR1596305
11	SRR1598765
11	SRR1598766
11	SRR1598767
3	SRR1610478
3	SRR1610479
3	SRR1610480
3	SRR1610481
3	SRR1610482
3	SRR1610483
3	SRR1610484
3	SRR1610485
3	SRR1610486
3	SRR1610487
3	SRR1610488
3	SRR1610489
3	SRR1610490
3	SRR1610491
3	SRR1610492
3	SRR1610493
3	SRR1610494
3	SRR1610495
3	SRR1610496
3	SRR1610497
3	SRR1610498
3	SRR1610499
3	SRR1610500
3	SRR1610501
3	SRR1610502
3	SRR1610503
3	SRR1610504
3	SRR1610505
3	SRR1610506
3	SRR1610507
3	SRR1610508
9	SRR1634274
9	SRR1634275
9	SRR1634276
9	SRR1634277
9	SRR1634278
9	SRR1634279
4	SRR1652313
4	SRR1652314
4	SRR1652315
4	SRR1652316
4	SRR1652317
9	SRR1654353
9	SRR1654354
9	SRR1654355
9	SRR1654356
9	SRR1654357
9	SRR1654358
9	SRR1654359
9	SRR1654360
9	SRR1654361
9	SRR1654363
9	SRR1654364
9	SRR1654365
9	SRR1654366
9	SRR1654367
9	SRR1654368
12	SRR1659921
12	SRR1659922
12	SRR1660397
12	SRR1660398
12	SRR1661473
12	SRR1661474
12	SRR1661475
12	SRR1661476
12	SRR1661477
12	SRR1661478
12	SRR1661483
12	SRR1661484
12	SRR1688325
12	SRR1688326
12	SRR1688327
12	SRR1688328
12	SRR1688425
12	SRR1688426
12	SRR1688427
12	SRR1688429
8	SRR1738104
8	SRR1738105
8	SRR1738106
8	SRR1738107
8	SRR1738108
8	SRR1738109
8	SRR1738110
8	SRR1738111
8	SRR1738112
8	SRR1738113
8	SRR1738114
8	SRR1738115
8	SRR1738116
8	SRR1738117
8	SRR1738118
8	SRR1738119
8	SRR1738120
8	SRR1738121
8	SRR1738122
8	SRR1738123
8	SRR1738124
8	SRR1738125
8	SRR1738126
8	SRR1738127
8	SRR1738128
8	SRR1738129
8	SRR1738130
8	SRR1738131
8	SRR1738132
8	SRR1738133
8	SRR1738134
8	SRR1738135
8	SRR1738136
8	SRR1738137
8	SRR1738138
8	SRR1738139
8	SRR1738140
8	SRR1738141
8	SRR1738142
8	SRR1738143
8	SRR1738144
8	SRR1738145
8	SRR1738146
8	SRR1738147
8	SRR1738148
8	SRR1738149
8	SRR1738150
8	SRR1738151
9	SRR1752178
9	SRR1752181
9	SRR1752182
9	SRR1752185
1	SRR1752188
1	SRR1752189
1	SRR1752190
1	SRR1752191
1	SRR1752193
1	SRR1752194
1	SRR1752196
1	SRR1752197
11	SRR1763900
9	SRR1768384
9	SRR1768401
9	SRR1793486
9	SRR1793487
9	SRR1793488
1	SRR1793489
1	SRR1793490
1	SRR1793491
9	SRR1793492
9	SRR1793493
9	SRR1793494
1	SRR1793495
1	SRR1793496
1	SRR1793497
9	SRR1793498
9	SRR1793499
9	SRR1793500
1	SRR1793501
1	SRR1793502
1	SRR1793503
9	SRR1793504
9	SRR1793505
9	SRR1793506
1	SRR1793507
1	SRR1793508
1	SRR1793509
4	SRR1802164
4	SRR1802165
4	SRR1802166
4	SRR1802167
4	SRR1802168
4	SRR1802169
4	SRR1802170
4	SRR1802171
4	SRR1802172
4	SRR1802173
6	SRR1810778
6	SRR1810779
6	SRR1810780
9	SRR1810781
9	SRR1810782
9	SRR1810783
12	SRR1984527
12	SRR1984528
12	SRR1984530
12	SRR1984531
12	SRR1984532
12	SRR1984535
12	SRR1984536
12	SRR1984538
12	SRR1984540
12	SRR1984541
12	SRR1984543
12	SRR1984544
12	SRR2073141
12	SRR2073142
12	SRR2073143
12	SRR2073144
12	SRR2073145
12	SRR2073146
12	SRR2073174
12	SRR2073176
12	SRR2073179
6	SRR2088865
6	SRR2088866
6	SRR2088867
6	SRR2088868
6	SRR2088871
6	SRR2088872
6	SRR2088873
6	SRR2088874
6	SRR2088875
6	SRR2088876
11	SRR2094583
11	SRR2094587
12	SRR2106520
5	SRR307068
5	SRR307070
5	SRR307073
5	SRR307076
9	SRR314813
6	SRR314814
12	SRR314815
12	SRR314816
6	SRR314817
12	SRR314818
6	SRR331224
6	SRR331228
6	SRR331229
2	SRR345551
2	SRR345552
2	SRR345553
2	SRR345554
2	SRR345555
2	SRR345556
2	SRR345561
2	SRR345562
4	SRR345563
4	SRR345564
9	SRR346552
9	SRR346553
4	SRR349697
4	SRR349698
4	SRR360152
4	SRR360153
4	SRR360154
4	SRR360205
5	SRR364469
6	SRR364677
6	SRR364678
9	SRR388665
9	SRR388666
9	SRR388667
12	SRR388668
12	SRR388669
12	SRR388670
11	SRR391052
10	SRR393798
10	SRR393799
10	SRR393801
10	SRR393802
10	SRR393803
10	SRR393804
10	SRR393805
10	SRR393806
10	SRR393807
10	SRR393808
10	SRR393809
9	SRR393810
9	SRR393812
9	SRR393813
9	SRR394082
12	SRR401415
12	SRR401416
12	SRR401418
12	SRR401421
12	SRR401424
12	SRR401430
2	SRR402995
2	SRR402996
2	SRR402997
2	SRR402998
9	SRR419182
9	SRR419183
9	SRR419184
9	SRR419185
9	SRR419186
9	SRR419187
6	SRR420813
6	SRR420814
6	SRR420815
6	SRR420816
6	SRR420817
6	SRR420818
12	SRR444595
12	SRR444596
12	SRR444597
12	SRR444598
12	SRR444599
12	SRR444600
12	SRR444601
12	SRR444602
11	SRR446027
11	SRR446028
11	SRR446029
11	SRR446030
11	SRR446031
11	SRR446032
11	SRR446033
11	SRR446034
11	SRR446035
11	SRR446036
11	SRR446037
11	SRR446038
11	SRR446039
11	SRR446040
11	SRR446041
11	SRR446042
11	SRR446043
11	SRR446044
11	SRR446484
9	SRR446485
11	SRR446486
9	SRR446487
2	SRR477075
2	SRR477076
2	SRR477077
2	SRR477078
2	SRR477079
2	SRR477080
2	SRR477081
2	SRR477082
12	SRR479032
12	SRR479033
12	SRR479034
12	SRR479035
12	SRR479036
12	SRR479037
12	SRR479038
9	SRR493036
9	SRR493037
9	SRR493038
9	SRR493039
9	SRR493040
9	SRR493041
9	SRR493042
9	SRR493043
9	SRR493044
9	SRR493045
9	SRR493046
9	SRR493047
11	SRR493097
11	SRR493098
2	SRR493237
2	SRR493238
2	SRR493239
2	SRR493240
2	SRR493285
2	SRR493286
2	SRR493287
2	SRR493288
2	SRR493289
2	SRR493290
4	SRR501594
9	SRR501596
2	SRR501597
9	SRR501598
4	SRR501599
10	SRR501600
9	SRR501601
9	SRR501602
4	SRR501603
10	SRR501605
4	SRR501607
10	SRR501609
9	SRR501610
4	SRR501611
9	SRR501612
10	SRR501613
9	SRR501614
10	SRR501615
9	SRR501616
10	SRR501618
10	SRR501620
10	SRR501622
4	SRR501623
3	SRR504179
3	SRR504180
3	SRR504181
3	SRR504182
3	SRR504183
3	SRR504184
3	SRR504185
3	SRR504186
3	SRR504187
6	SRR505743
9	SRR505744
12	SRR505745
5	SRR505746
11	SRR513596
11	SRR513597
11	SRR513729
11	SRR513731
11	SRR513741
11	SRR513742
11	SRR513743
11	SRR513744
11	SRR514997
11	SRR515160
11	SRR515175
11	SRR515176
11	SRR515177
11	SRR515178
11	SRR515179
11	SRR515180
11	SRR515181
11	SRR515182
11	SRR515192
11	SRR515193
11	SRR515195
4	SRR515317
4	SRR515318
4	SRR515319
4	SRR515320
4	SRR515323
4	SRR515333
2	SRR515489
2	SRR515490
2	SRR515491
2	SRR515492
2	SRR515493
4	SRR517965
4	SRR517966
11	SRR518040
11	SRR518041
11	SRR518042
11	SRR518043
11	SRR518044
7	SRR520237
7	SRR520238
7	SRR520239
7	SRR520240
7	SRR520241
7	SRR520242
7	SRR520243
7	SRR520244
7	SRR520245
7	SRR520246
7	SRR520247
7	SRR520248
1	SRR525101
1	SRR525102
1	SRR525103
1	SRR525104
1	SRR525105
1	SRR525106
1	SRR525107
1	SRR525108
1	SRR525109
1	SRR525110
1	SRR525111
1	SRR525114
1	SRR525116
1	SRR525118
1	SRR525120
1	SRR525121
1	SRR525122
1	SRR525123
1	SRR525124
1	SRR525125
1	SRR525126
1	SRR525127
1	SRR525128
1	SRR525129
1	SRR525130
1	SRR525131
1	SRR525132
1	SRR525133
1	SRR525134
1	SRR525135
1	SRR525136
1	SRR525137
1	SRR525138
1	SRR525139
1	SRR525140
1	SRR525141
1	SRR525142
1	SRR525143
1	SRR525144
1	SRR525145
1	SRR525146
1	SRR525147
1	SRR525148
1	SRR525149
1	SRR525150
1	SRR525151
1	SRR525152
1	SRR525153
1	SRR525154
1	SRR525155
1	SRR525156
1	SRR525157
1	SRR525158
1	SRR525159
1	SRR525160
1	SRR525161
1	SRR525162
1	SRR525163
1	SRR525164
1	SRR525165
1	SRR525166
1	SRR525168
1	SRR525170
12	SRR546147
3	SRR576327
3	SRR576328
3	SRR576329
6	SRR578940
6	SRR578941
6	SRR578942
6	SRR578943
6	SRR578944
6	SRR578945
6	SRR578946
6	SRR578947
6	SRR578948
4	SRR584115
4	SRR584116
4	SRR584117
11	SRR584118
4	SRR584119
11	SRR584120
4	SRR584121
4	SRR584122
4	SRR584123
11	SRR584124
4	SRR584125
11	SRR584126
4	SRR584127
4	SRR584128
4	SRR584129
4	SRR584130
4	SRR584131
4	SRR584132
4	SRR584133
4	SRR584134
4	SRR584135
4	SRR584136
4	SRR584137
4	SRR605657
4	SRR605658
4	SRR605659
4	SRR605660
4	SRR605661
7	SRR627629
